,gas/electric,rent length,bedrooms,price,bathrooms,master,storage?,balcony/garden,electric/solar,AC,parking,SK,public transpo,loud neighborhood,construction to building,furnished?,pets,smoke,livingroom,accessible?,where,city,phone number,name
69,4,24,5,8000,2,5,4,5,4,5,5,2,4,4,4,1,1,1,5,5, ,1,1000069,person69
70,3,24,3,4000,1,1,3,5,4,3,1,3,5,5,5,2,5,1,2,5, ,1,1000070,person70
71,5,24,2,4000,1,1,1,5,1,5,1,5,5,3,5,4,1,1,4,1, ,1,1000071,person71
72,5,24,4,6000,1.5,3,3,5,5,2,2,4,4,5,4,1,5,1,4,2, ,,1000072,person72
73,5,12,5,7000,2,4,4,3,4,5,4,5,2,3,5,2,1,1,4,5, ,,1000073,person73
74,3,12,3,3000,1.5,1,3,3,4,3,1,5,5,1,3,3,3,2,3,3,Jerusalem ,1,1000074,person74
75,5,24,3,5000,1.5,3,4,5,5,5,4,1,5,3,4,3,5,5,5,3, ,1,1000075,person75
76,5,12,3,4000,2,1,4,4,4,5,5,5,3,4,5,3,1,1,4,2,Otef Azza,0,1000076,person76
77,3,12,4,2000,1.5,2,4,4,5,5,2,5,5,4,4,5,4,1,4,2,Otef Azza,0,1000077,person77
78,5,12,2,4000,1,1,1,3,3,5,1,5,5,5,5,3,5,1,3,1, ,1,1000078,person78
79,5,12,4,6000,2,3,3,5,5,5,2,3,5,4,5,1,3,1,3,4, ,1,1000079,person79
80,1,12,3,5000,1.5,3,4,4,3,4,5,1,3,5,5,1,5,1,3,5, ,1,1000080,person80
81,4,12,2,4000,1,1,3,3,5,5,3,1,5,4,5,2,3,3,5,3, ,1,1000081,person81
82,5,12,4,4000,1.5,1,2,1,2,3,4,2,5,5,5,1,5,3,3,3, ,1,1000082,person82
83,5,12,6,3000,2,1,3,4,5,3,5,3,1,3,4,1,3,1,3,3, ,1,1000083,person83
84,5,24,2,4000,1,1,5,3,3,5,1,3,5,5,5,1,1,1,3,5, ,1,1000084,person84
85,1,12,3,3000,1.5,1,5,4,5,4,1,1,3,3,5,3,5,2,3,3,Beer Sheba,1,1000085,person85
86,3,12,5,6000,1.5,5,5,5,4,5,4,5,5,3,4,3,1,2,5,5,Beer Sheba,,1000086,person86
87,5,6,4,6000,2,5,3,4,4,4,4,4,4,3,4,3,1,1,2,5,Beer Sheba,1,1000087,person87
88,3,12,3,4000,1.5,2,4,5,3,5,1,5,5,3,4,4,2,1,3,2,Beer Sheba,1,1000088,person88
89,5,12,4,6000,2,4,5,5,5,5,1,4,5,5,5,1,1,1,3,5, ,1,1000089,person89
90,5,24,4,3000,1.5,1,2,5,5,3,2,5,5,3,3,1,1,1,5,4, ,1,1000090,person90
91,3,24,4,7000,1.5,3,3,5,3,5,2,5,4,5,5,1,5,1,5,5, ,1,1000091,person91
92,3,6,3,8000,2,1,3,3,3,4,1,3,5,5,3,5,1,2,3,3, ,1,1000092,person92
93,1,12,2,4000,1,4,2,2,4,2,2,1,5,4,5,4,1,1,1,2, ,1,1000093,person93
94,5,24,4,7000,1,4,2,5,4,4,1,1,5,3,4,1,5,1,3,1, ,,1000094,person94
95,5,24,5,4000,1.5,4,3,4,4,4,3,2,2,4,4,2,2,1,3,4,Otef Azza,0,1000095,person95
96,5,12,5,4000,1.5,3,4,4,2,2,2,5,3,3,4,1,5,1,4,4,Otef Azza,0,1000096,person96
97,5,24,5,4000,2,2,2,5,5,3,1,5,5,5,5,1,5,1,5,3,Jerusalem ,1,1000097,person97
98,5,12,5,4000,2,5,5,5,5,3,2,5,5,3,5,3,3,3,5,5,Otef Azza,0,1000098,person98
99,5,12,2,5000,1,2,4,4,5,5,3,1,4,4,5,2,4,5,4,2, ,1,1000099,person99
100,5,12,3,5000,2,3,3,3,5,5,5,3,4,5,5,3,1,3,3,5,Otef Azza,0,1000100,person100
101,5,12,4,4000,1.5,1,3,3,4,5,1,5,5,3,3,3,3,1,5,5, ,,1000101,person101
102,5,12,3,4000,1,3,3,5,3,3,1,1,5,5,4,3,3,2,4,1, ,1,1000102,person102
103,4,6,4,4000,2,3,2,3,5,5,2,5,5,2,3,4,1,1,4,3,Jerusalem ,1,1000103,person103
104,5,24,4,6000,2,5,4,5,5,5,2,2,5,5,5,1,5,1,4,5, ,1,1000104,person104
105,1,12,2,5000,1,5,3,5,5,5,5,1,5,5,5,1,2,4,4,5, ,1,1000105,person105
106,5,12,2,4000,1,1,2,4,5,5,2,5,5,5,5,1,5,1,1,1,Jerusalem ,1,1000106,person106
107,5,24,4,5000,1.5,4,5,5,5,4,5,5,5,3,5,1,5,1,5,3,Otef Azza,0,1000107,person107
108,5,12,4,5000,1.5,4,2,4,5,5,4,5,4,5,4,1,1,1,5,3, ,1,1000108,person108
109,5,12,5,4000,1.5,1,2,2,5,3,1,5,5,3,3,4,4,1,4,4,Jerusalem ,1,1000109,person109
110,4,12,4,4000,1.5,3,4,1,3,5,1,4,5,4,3,1,4,5,4,1, ,1,1000110,person110
111,5,12,4,4000,1.5,1,2,4,5,3,2,5,5,3,5,1,1,1,3,5,Otef Azza,0,1000111,person111
112,5,12,6,4000,2,4,3,5,1,1,5,5,2,3,2,3,4,1,5,5,Otef Azza,0,1000112,person112
113,5,12,3,3000,1,1,1,4,5,5,1,5,5,3,4,4,1,1,4,3, ,1,1000113,person113
114,1,6,3,6000,1,3,3,5,5,5,4,5,5,5,2,3,5,1,5,1, ,1,1000114,person114
115,5,,5,7000,2,5,5,5,5,5,5,1,4,4,5,3,4,1,4,5, ,1,1000115,person115
116,3,12,2,3000,1,1,3,1,1,1,1,5,5,4,4,3,1,1,2,3, ,1,1000116,person116
117,1,2,1,3000,1,1,2,5,3,5,1,5,5,1,1,5,1,2,1,2, ,1,1000117,person117
118,1,12,3,7000,1.5,1,1,3,5,4,1,1,5,5,5,3,4,4,4,4, ,1,1000118,person118
